S.No	Date	Vehicle No.	W. Slip No.	Truckchit No.	Center Name	DISTRICT	New Bags	Old Bags	Total Bags	Total Quintals	Moisture	Unloading Point
114	20-05-2025	KA39.9973	1005	3758	DCMS BADRIGUDEM	SANGAREDDY	0	746	746	298.4		NEW GODOWN
115	20-05-2025	TS15UE7857	1006	10342	PACS REDDIKHANAPUR	SANGAREDDY	0	457	457	182.8		NEW GODOWN
116	20-05-2025	AP31TC1059	1007	12035	PACS KASALA II	SANGAREDDY	0	656	656	262.4		NEW GODOWN
117	21-05-2025	AP23TA1235	1008	17349	IKP WADDEPALLY	SANGAREDDY	0	779	779	311.6		NEW GODOWN
118	20-05-2025	AP24X8168	1009	10343	PACS REDDIKHANAPUR	SANGAREDDY	0	559	559	223.6		NEW GODOWN
119	21-05-2025	AP24TC1159	1010	10907	PACS KANDI	SANGAREDDY	642	0	642	256.8		OLD GODOWN
120	21-05-2025	TS32T1570	1011	11529	PACS INDRAKARAN	SANGAREDDY	834	0	834	333.6		BATTI
121	21-05-2025	TS15UC4786	1012	13317	PACS ISMAILKHANPET	SANGAREDDY	0	699	699	279.6		NEW GODOWN
122	21-05-2025	TS15UD2066	1013	13318	PACS ISMAILKHANPET	SANGAREDDY	0	655	655	262		NEW GODOWN
123	21-05-2025	AP29TB3004	1014	10344	PACS REDDIKHANAPUR	SANGAREDDY	0	806	806	322.4		NEW GODOWN
124	21-05-2025	TS07UK3350	1015	12037	PACS KASALA II	SANGAREDDY	0	782	782	312.8		NEW GODOWN
125	21-05-2025	TS12UA7845	1016	10346	PACS REDDIKHANAPUR	SANGAREDDY	0	753	753	301.2		NEW GODOWN
126	21-05-2025	TS07UG2769	1017	10909	PACS KANDI	SANGAREDDY	0	685	685	274		NEW GODOWN
127	21-05-2025	AP29TA8089	1018	27870	PACS KONDAPUR	SANGAREDDY	460	58	518	207.2		OLD GODOWN
128	21-05-2025	TS06UA0189	1019	10910	PACS KANDI	SANGAREDDY	322	349	671	268.4		OLD GODOWN
129	21-05-2025	TS08UF2108	1020	27871	PACS KONDAPUR	SANGAREDDY	552	69	621	248.4		OLD GODOWN
130	21-05-2025	AP16TY0175	1021	27932	PACS SHIVAMPET	SANGAREDDY	0	543	543	217.2		NEW GODOWN
131	21-05-2025	AP31TC1059	1022	12038	PACS KASALA II	SANGAREDDY	0	732	732	292.8		NEW GODOWN
132	21-05-2025	AP12B2959	1023	12036	PACS KASALA II	SANGAREDDY	0	581	581	232.4		NEW GODOWN
133	21-05-2025	TS02UA5179	1025	72488	PACS VELAMAKANNA (MDK)	MEDAK	0	720	720	288		NEW GODOWN
134	21-05-2025	TS08UE2560	1027	26891	IKP VENKATRAOPET (MDK)	MEDAK	0	723	723	289.2		NEW GODOWN
135	22-05-2025	AP24X8168	1024	10348	PACS REDDIKHANAPUR	SANGAREDDY	0	599	599	239.6		NEW GODOWN
136	22-05-2025	AP29TB1265	1028	9525	PACS KOWDIPALLY (MDK)	MEDAK	0	594	594	237.6		NEW GODOWN
137	22-05-2025	KA38A6568	1029	10911	PACS KANDI	SANGAREDDY	656	0	656	262.4		OLD GODOWN
138	22-05-2025	TS05UC0459	1031	11563	DCMS UPPARIGUDEM	SANGAREDDY	570		570	228		OLD GODOWN
139	22-05-2025	TS15UD9956	1033	11914	IKP YELLAMMAGUDA	SANGAREDDY	126	0	126	50.4		BATTI
140	22-05-2025	AP23AM8358	1032	11915	IKP YELLAMMAGUDA	SANGAREDDY	0	114	114	45.6		BATTI
141	22-05-2025	KA56.4750	1034	11562	DCMS UPPARIGUDEM	SANGAREDDY	477		477	190.8		OLD GODOWN
142	22-05-2025	AP24TA1599	1030	52176	IKP TEKMAL (MDK)	MEDAK	8	720	728	291.2		NEW GODOWN
143	22-05-2025	KA56.2087	1035	10349	PACS REDDIKHANAPUR	SANGAREDDY	0	569	569	227.6		NEW GODOWN
144	22-05-2025	MH26CH0607	1037	9524	PACS KOWDIPALLY (MDK)	MEDAK	40	560	600	240		NEW GODOWN
145	22-05-2025	AP29TA2062	1036	10912	PACS KANDI	SANGAREDDY	410	137	547	218.8		OLD GODOWN
146	22-05-2025	AP24X8168	1038	12039	PACS KASALA II	SANGAREDDY	0	619	619	247.6		NEW GODOWN
147	22-05-2025	AP23TA1235	1039	10350	PACS REDDIKHANAPUR	SANGAREDDY	0	659	659	263.6		NEW GODOWN
148	22-05-2025	TS07UG2769	1040	10915	PACS KANDI	SANGAREDDY	675	0	675	270		OLD GODOWN
149	23-05-2025	TS06UA0189	1041	10916	PACS KANDI	SANGAREDDY	668	0	668	267.2		OLD GODOWN
150	23-05-2025	TS12UA7845	1042	12040	PACS KASALA II	SANGAREDDY	0	695	695	278		NEW GODOWN
151	23-05-2025	KA38A6777	1043	10251	PACS REDDIKHANAPUR	SANGAREDDY	0	597	597	238.8		NEW GODOWN
152	23-05-2025	TS12UE2580	1044	10925	PACS KANDI	SANGAREDDY	0	341	341	136.4		NEW GODOWN
153	23-05-2025	AP29TB3004	1045	10252	PACS REDDIKHANAPUR	SANGAREDDY	0	626	626	250.4		NEW GODOWN
154	23-05-2025	TS15UC4786	1047	13327	PACS ISMAILKHANPET	SANGAREDDY	0	637	637	254.8		NEW GODOWN
155	23-05-2025	KA38A6558	1048	10917	PACS KANDI	SANGAREDDY	0	691	691	276.4		NEW GODOWN
156	23-05-2025	KA39.7342	1049	11564	DCMS UPPARIGUDEM	SANGAREDDY	498	0	498	199.2		OLD GODOWN
